Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
2,إصلاح وتركيب الآلات والمعدات,47,14,6,8,139,139,0,153,2022-4
2,أنشطة النشر,5,1,1,0,147,147,0,148,2022-4
2,صناعة الآلات والمعدات غير المصنفة في موضع أخر,11,1,1,0,145,145,0,146,2022-4
1,إصلاح وتركيب الآلات والمعدات,41,9,3,6,126,126,0,135,2022-1
1,صُنع المواد الكيميائية والمنتجات الكيميائية,19,22,16,6,110,110,0,132,2022-1
2,أنشطة المنظمات ذات العضوية,35,66,56,10,59,58,1,125,2022-4
4,الأنشطة القانونية وأنشطة المحاسبة,41,22,16,6,101,99,2,123,2022-10
4,أنشطة المنظمات ذات العضوية,33,74,61,13,46,45,1,120,2022-10
3,الأنشطة القانونية وأنشطة المحاسبة,43,19,15,4,99,98,1,118,2022-7
3,أنشطة المنظمات ذات العضوية,34,67,59,8,47,46,1,114,2022-7
1,أنشطة المنظمات ذات العضوية,32,58,51,7,55,53,2,113,2022-1
4,صُنع الورق ومنتجات الورق,23,8,4,4,98,98,0,106,2022-10
3,صُنع الورق ومنتجات الورق,25,9,3,6,92,92,0,101,2022-7
2,الأنشطة القانونية وأنشطة المحاسبة,35,15,12,3,81,80,1,96,2022-4
3,أنشطة النشر,4,2,2,0,88,88,0,90,2022-7
1,الاتصالات,21,3,0,3,82,80,2,85,2022-1
1,الأنشطة القانونية وأنشطة المحاسبة,30,14,11,3,69,69,0,83,2022-1
1,صناعة الآلات والمعدات غير المصنفة في موضع أخر,10,1,0,1,79,79,0,80,2022-1
2,صُنع الورق ومنتجات الورق,25,4,3,1,74,74,0,78,2022-4
2,الاتصالات,23,7,4,3,71,69,2,78,2022-4
4,أنشطة النشر,5,2,1,1,75,75,0,77,2022-10
