region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة حائل,النقل الجوي,17,0,0,0,51,50,1,51
منطقة الحدود الشمالية,صُنع المشروبات,5,8,5,3,43,43,0,51
منطقة القصيم,أنشطة خدمات المعلومات,13,12,6,6,39,39,0,51
منطقة حائل,أنشطة الأمن والتحقيقات,2,51,51,0,0,0,0,51
منطقة حائل,صنع المعدات الكهربائية,13,6,2,4,44,44,0,50
منطقة تبوك,الأنشطة البيطرية,12,16,11,5,32,30,2,48
منطقة جازان,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,16,2,0,2,46,46,0,48
المنطقة الشرقية,تعدين الفحم والليغنيت,12,12,6,6,35,35,0,47
منطقة نجران,صنع المعدات الكهربائية,7,7,2,5,38,38,0,45
منطقة جازان,صنع الحواسيب والمنتجات الإلكترونية والبصرية,19,2,1,1,43,43,0,45
منطقة المدينة المنورة,استخراج النفط الخام والغاز الطبيعي,2,37,37,0,8,8,0,45
منطقة حائل,الصناعة التحويلية الأخرى,13,9,7,2,36,35,1,45
منطقة حائل,صناعة الآلات والمعدات غير المصنفة في موضع أخر,14,1,1,0,42,42,0,43
منطقة حائل,الرعاية مع الإقامة,4,38,12,26,5,4,1,43
منطقة نجران,الصناعة التحويلية الأخرى,11,10,6,4,33,31,2,43
منطقة عسير,النقل الجوي,13,7,6,1,33,33,0,40
منطقة حائل,الأنشطة الأخرى للتعدين واستغلال المحاجر,15,8,3,5,32,32,0,40
منطقة نجران,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,17,4,4,0,36,36,0,40
منطقة حائل,الأنشطة البيطرية,16,7,4,3,33,32,1,40
منطقة عسير,النقل المائي,18,1,1,0,38,38,0,39
منطقة الحدود الشمالية,النقل الجوي,2,14,10,4,25,25,0,39
منطقة الباحة,أنشطة الاستخدام,23,6,5,1,33,30,3,39
منطقة تبوك,صنع المعدات الكهربائية,13,7,1,6,32,32,0,39
منطقة جازان,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,13,3,3,0,36,34,2,39
منطقة حائل,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,14,1,1,0,37,36,1,38
منطقة حائل,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,10,14,8,6,24,22,2,38
منطقة تبوك,أنشطة النشر,6,11,8,3,27,27,0,38
منطقة الجوف,الاتصالات,18,9,6,3,28,27,1,37
منطقة القصيم,النقل الجوي,12,4,1,3,33,33,0,37
منطقة جازان,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,15,0,0,0,37,37,0,37
منطقة المدينة المنورة,أنشطة النشر,16,8,3,5,29,29,0,37
منطقة الباحة,الأنشطة القانونية وأنشطة المحاسبة,12,26,16,10,11,11,0,37
منطقة جازان,النقل الجوي,14,3,2,1,34,34,0,37
منطقة تبوك,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,7,6,5,1,31,31,0,37
منطقة تبوك,الاتصالات,16,3,1,2,33,33,0,36
منطقة القصيم,أنشطة النشر,11,3,1,2,33,33,0,36
منطقة جازان,الأنشطة البيطرية,8,9,2,7,27,25,2,36
منطقة الباحة,أنشطة المنظمات ذات العضوية,17,28,20,8,8,8,0,36
منطقة تبوك,توصيل الكهرباء والغاز والبخار وتكييف الهواء,14,3,0,3,32,32,0,35
منطقة تبوك,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,12,17,12,5,18,18,0,35
منطقة القصيم,أنشطة خدمات دعم التعدين,9,2,2,0,33,33,0,35
منطقة حائل,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,7,0,0,0,35,35,0,35
منطقة الباحة,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,4,5,2,3,30,30,0,35
منطقة الحدود الشمالية,الاتصالات,15,3,2,1,31,30,1,34
منطقة الجوف,الصرف الصحي,13,2,2,0,32,32,0,34
منطقة المدينة المنورة,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,18,4,2,2,30,29,1,34
منطقة عسير,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,13,3,2,1,31,31,0,34
منطقة الباحة,الصناعة التحويلية الأخرى,11,6,5,1,28,27,1,34
منطقة المدينة المنورة,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,12,4,1,3,30,30,0,34
منطقة تبوك,أنشطة خدمات دعم التعدين,10,5,3,2,28,28,0,33
منطقة الحدود الشمالية,صُنع الورق ومنتجات الورق,4,5,2,3,28,28,0,33
منطقة نجران,الطباعة واستنساخ وسائط الأعلام المسجّلة,13,3,1,2,29,29,0,32
منطقة تبوك,تعدين الفحم والليغنيت,3,2,1,1,29,29,0,31
منطقة الحدود الشمالية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,5,0,0,0,31,31,0,31
منطقة عسير,البحث والتطوير في المجال العلمي,5,27,0,27,4,4,0,31
منطقة الجوف,صنع الفلزات القاعدية,11,3,2,1,27,27,0,30
منطقة تبوك,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,7,4,1,3,26,25,1,30
منطقة عسير,صُنع المنتجات الجلدية والمنتجات ذات الصلة,10,0,0,0,29,29,0,29
منطقة الحدود الشمالية,صنع الفلزات القاعدية,8,3,3,0,25,25,0,28
منطقة الجوف,توصيل الكهرباء والغاز والبخار وتكييف الهواء,8,2,2,0,26,26,0,28
منطقة جازان,تعدين ركازات الفلزات,8,7,5,2,21,21,0,28
منطقة المدينة المنورة,البحث والتطوير في المجال العلمي,14,12,7,5,16,15,1,28
منطقة الحدود الشمالية,الطباعة واستنساخ وسائط الأعلام المسجّلة,8,3,0,3,25,25,0,28
منطقة القصيم,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,5,15,9,6,12,12,0,27
منطقة الجوف,الصناعة التحويلية الأخرى,9,3,3,0,24,24,0,27
منطقة نجران,الاتصالات,12,1,1,0,26,26,0,27
منطقة الباحة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,10,4,4,0,23,23,0,27
منطقة نجران,صنع الحواسيب والمنتجات الإلكترونية والبصرية,8,3,0,3,24,24,0,27
منطقة المدينة المنورة,صُنع المنتجات الجلدية والمنتجات ذات الصلة,7,2,1,1,24,24,0,26
منطقة نجران,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,9,1,0,1,25,25,0,26
منطقة جازان,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,10,10,8,2,16,14,2,26
منطقة الجوف,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,9,4,2,2,21,21,0,25
منطقة الحدود الشمالية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,7,5,0,5,20,20,0,25
منطقة الجوف,الأنشطة المهنية والعلمية والتقنية الأخرى,12,2,1,1,23,20,3,25
منطقة الحدود الشمالية,صنع المعدات الكهربائية,10,0,0,0,25,25,0,25
منطقة نجران,النقل المائي,8,1,1,0,24,24,0,25
منطقة جازان,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,7,10,4,6,14,14,0,24
منطقة الحدود الشمالية,الأنشطة المهنية والعلمية والتقنية الأخرى,10,7,0,7,17,13,4,24
منطقة الباحة,الأنشطة المهنية والعلمية والتقنية الأخرى,12,1,0,1,23,23,0,24
منطقة نجران,استخراج النفط الخام والغاز الطبيعي,4,6,5,1,18,18,0,24
منطقة تبوك,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,8,1,0,1,23,22,1,24
منطقة القصيم,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,6,1,0,1,23,23,0,24
منطقة تبوك,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,10,7,1,6,16,16,0,23
منطقة المدينة المنورة,الأنشطة الإبداعية والفنون وأنشطة الترفيه,13,3,0,3,20,20,0,23
منطقة جازان,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,9,1,1,0,22,22,0,23
منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,8,6,1,5,17,17,0,23
منطقة الباحة,الصرف الصحي,6,3,1,2,20,20,0,23
منطقة نجران,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,2,0,2,21,20,1,23
منطقة القصيم,النقل المائي,6,5,0,5,18,18,0,23
منطقة الجوف,الرعاية مع الإقامة,3,19,0,19,3,1,2,22
منطقة الحدود الشمالية,صنع منتجات المطاط واللدائن,5,3,1,2,19,19,0,22
منطقة القصيم,صُنع المنتجات الجلدية والمنتجات ذات الصلة,7,1,0,1,21,21,0,22
منطقة الجوف,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,3,3,0,19,19,0,22
منطقة تبوك,صنع الحواسيب والمنتجات الإلكترونية والبصرية,11,3,1,2,19,19,0,22
منطقة تبوك,صناعة الآلات والمعدات غير المصنفة في موضع أخر,9,0,0,0,22,22,0,22
منطقة عسير,أنشطة خدمات دعم التعدين,11,1,0,1,21,21,0,22
منطقة القصيم,صنع الحواسيب والمنتجات الإلكترونية والبصرية,8,2,2,0,19,18,1,21
منطقة نجران,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2,16,15,1,5,5,0,21
منطقة جازان,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,0,0,0,21,21,0,21
منطقة الجوف,صنع المعدات الكهربائية,9,2,2,0,19,19,0,21
منطقة الجوف,صنع فحم الكوك والمنتجات النفطية المكررة,2,3,2,1,17,17,0,20
المنطقة الشرقية,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,4,4,0,4,16,16,0,20
منطقة الباحة,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,6,3,1,2,17,17,0,20
منطقة جازان,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,8,0,0,0,20,20,0,20
منطقة حائل,صنع الحواسيب والمنتجات الإلكترونية والبصرية,11,1,1,0,19,19,0,20
منطقة الجوف,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,9,1,0,1,18,17,1,19
منطقة جازان,أنشطة النشر,6,7,4,3,12,12,0,19
منطقة حائل,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,8,9,5,4,10,10,0,19
منطقة نجران,الأنشطة البيطرية,11,4,0,4,15,15,0,19
منطقة الباحة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,8,1,1,0,18,18,0,19
منطقة حائل,أنشطة خدمات المعلومات,4,5,2,3,13,12,1,18
منطقة القصيم,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,3,5,4,1,13,13,0,18
منطقة جازان,الحراجة وقطع الأخشاب,6,1,1,0,17,17,0,18
منطقة عسير,الحراجة وقطع الأخشاب,6,2,1,1,15,15,0,17
منطقة تبوك,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,4,11,9,2,6,6,0,17
منطقة عسير,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,6,1,0,1,15,15,0,16
منطقة نجران,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,1,1,0,15,15,0,16
منطقة نجران,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,7,2,0,2,14,14,0,16
منطقة الباحة,صيد الأسماك وتربية المائيات,6,0,0,0,15,15,0,15
منطقة الجوف,صنع الحواسيب والمنتجات الإلكترونية والبصرية,5,1,0,1,14,14,0,15
منطقة الجوف,النقل الجوي,6,0,0,0,15,15,0,15
منطقة الحدود الشمالية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,6,1,0,1,14,14,0,15
منطقة الحدود الشمالية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,4,2,1,1,13,13,0,15
منطقة الحدود الشمالية,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,5,0,0,0,15,14,1,15
منطقة الحدود الشمالية,أنشطة المنظمات ذات العضوية,5,6,5,1,9,9,0,15
منطقة الباحة,الاتصالات,6,7,3,4,8,8,0,15
منطقة تبوك,صناعة معدات النقل الأخرى,3,2,2,0,13,13,0,15
منطقة الباحة,أنشطة النشر,5,3,3,0,12,12,0,15
منطقة الحدود الشمالية,الحراجة وقطع الأخشاب,2,1,0,1,14,14,0,15
منطقة الجوف,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,9,8,6,2,6,6,0,14
منطقة نجران,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,6,1,0,1,13,13,0,14
منطقة الجوف,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,7,1,1,0,13,13,0,14
منطقة نجران,النقل الجوي,4,2,2,0,11,11,0,13
منطقة عسير,صناعة معدات النقل الأخرى,5,0,0,0,13,13,0,13
منطقة نجران,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,5,0,0,0,13,13,0,13
منطقة الجوف,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,5,3,2,1,10,9,1,13
منطقة المدينة المنورة,الحراجة وقطع الأخشاب,5,1,1,0,12,12,0,13
منطقة عسير,أنشطة خدمات المعلومات,8,2,0,2,11,10,1,13
منطقة الحدود الشمالية,الأنشطة البيطرية,7,3,1,2,10,10,0,13
منطقة جازان,صناعة معدات النقل الأخرى,3,1,0,1,12,12,0,13
منطقة حائل,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,6,1,1,0,12,12,0,13
منطقة تبوك,أنشطة خدمات المعلومات,7,3,1,2,10,10,0,13
منطقة الباحة,صنع الفلزات القاعدية,8,0,0,0,12,12,0,12
منطقة الجوف,استخراج النفط الخام والغاز الطبيعي,6,0,0,0,12,12,0,12
منطقة مكة المكرمة,صُنع منتجات التبغ,2,7,7,0,5,5,0,12
منطقة الحدود الشمالية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,4,3,1,2,9,9,0,12
منطقة الباحة,صناعة الآلات والمعدات غير المصنفة في موضع أخر,4,1,1,0,10,10,0,11
منطقة عسير,أنشطة البرمجة والإذاعة,5,0,0,0,11,11,0,11
منطقة جازان,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,1,3,3,0,8,8,0,11
منطقة الجوف,أنشطة خدمات المعلومات,3,2,1,1,9,9,0,11
منطقة الباحة,الأنشطة البيطرية,5,1,0,1,9,9,0,10
منطقة حائل,صُنع المنتجات الجلدية والمنتجات ذات الصلة,4,0,0,0,10,10,0,10
منطقة حائل,تعدين ركازات الفلزات,3,2,2,0,8,8,0,10
منطقة حائل,صنع فحم الكوك والمنتجات النفطية المكررة,2,2,1,1,8,8,0,10
منطقة الحدود الشمالية,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,3,1,0,1,9,9,0,10
منطقة الحدود الشمالية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,3,3,0,3,7,7,0,10
منطقة القصيم,تعدين الفحم والليغنيت,3,2,1,1,8,8,0,10
منطقة جازان,أنشطة خدمات المعلومات,5,1,0,1,9,9,0,10
منطقة القصيم,الأنشطة الإبداعية والفنون وأنشطة الترفيه,4,2,0,2,8,8,0,10
منطقة نجران,الرعاية مع الإقامة,1,10,0,10,0,0,0,10
منطقة المدينة المنورة,تعدين ركازات الفلزات,5,0,0,0,9,9,0,9
منطقة جازان,البحث والتطوير في المجال العلمي,1,8,5,3,1,1,0,9
منطقة جازان,أنشطة خدمات دعم التعدين,4,1,0,1,8,8,0,9
منطقة الحدود الشمالية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,3,1,0,1,8,8,0,9
منطقة تبوك,الأنشطة الإبداعية والفنون وأنشطة الترفيه,4,0,0,0,8,8,0,8
منطقة الباحة,أنشطة الأمن والتحقيقات,1,8,5,3,0,0,0,8
منطقة المدينة المنورة,أنشطة البرمجة والإذاعة,4,2,1,1,6,6,0,8
منطقة الباحة,صنع الحواسيب والمنتجات الإلكترونية والبصرية,4,1,1,0,7,7,0,8
منطقة تبوك,الحراجة وقطع الأخشاب,2,0,0,0,8,8,0,8
منطقة القصيم,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,1,0,0,0,8,8,0,8
منطقة نجران,صناعة معدات النقل الأخرى,3,0,0,0,8,8,0,8
منطقة عسير,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,4,1,1,0,7,7,0,8
منطقة الحدود الشمالية,الصناعة التحويلية الأخرى,3,0,0,0,7,7,0,7
منطقة حائل,صناعة معدات النقل الأخرى,2,0,0,0,7,7,0,7
منطقة تبوك,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,4,1,1,0,6,6,0,7
منطقة الجوف,أنشطة خدمات دعم التعدين,4,1,0,1,6,6,0,7
منطقة الباحة,صنع منتجات المطاط واللدائن,3,0,0,0,7,7,0,7
منطقة تبوك,البحث والتطوير في المجال العلمي,2,2,0,2,5,5,0,7
منطقة عسير,تعدين الفحم والليغنيت,2,1,0,1,6,6,0,7
منطقة حائل,تعدين الفحم والليغنيت,2,0,0,0,7,7,0,7
منطقة تبوك,تعدين ركازات الفلزات,2,0,0,0,7,7,0,7
منطقة الجوف,الأنشطة البيطرية,2,1,1,0,6,6,0,7
منطقة نجران,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,0,0,0,6,6,0,6
منطقة تبوك,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,3,3,2,1,3,3,0,6
منطقة الجوف,أنشطة النشر,4,0,0,0,6,6,0,6
منطقة الباحة,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,2,1,1,0,5,5,0,6
منطقة حائل,الحراجة وقطع الأخشاب,2,1,1,0,5,5,0,6
منطقة الرياض,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,6,1,1,0,5,5,0,6
منطقة الحدود الشمالية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2,0,0,0,6,6,0,6
منطقة حائل,أنشطة خدمات دعم التعدين,4,1,0,1,5,5,0,6
منطقة الباحة,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,2,1,0,1,5,4,1,6
منطقة نجران,تعدين الفحم والليغنيت,2,1,1,0,4,4,0,5
منطقة الجوف,تعدين ركازات الفلزات,2,0,0,0,5,5,0,5
منطقة حائل,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,5,1,1,0,4,4,0,5
منطقة الباحة,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,3,1,0,1,4,4,0,5
منطقة المدينة المنورة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,1,1,0,4,3,1,5
منطقة الحدود الشمالية,تعدين ركازات الفلزات,3,1,1,0,4,4,0,5
منطقة الحدود الشمالية,صيد الأسماك وتربية المائيات,2,0,0,0,5,5,0,5
منطقة حائل,النقل المائي,2,0,0,0,5,5,0,5
منطقة نجران,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5
منطقة الجوف,الأنشطة الإبداعية والفنون وأنشطة الترفيه,1,1,0,1,4,4,0,5
منطقة الجوف,صُنع المنتجات الجلدية والمنتجات ذات الصلة,2,0,0,0,5,5,0,5
منطقة الباحة,صنع المعدات الكهربائية,3,0,0,0,5,5,0,5
منطقة القصيم,صناعة معدات النقل الأخرى,2,0,0,0,5,5,0,5
منطقة حائل,الأنشطة الإبداعية والفنون وأنشطة الترفيه,1,0,0,0,4,4,0,4
منطقة نجران,الحراجة وقطع الأخشاب,2,0,0,0,4,4,0,4
منطقة جازان,أنشطة البرمجة والإذاعة,1,1,1,0,3,3,0,4
منطقة جازان,الأنشطة الإبداعية والفنون وأنشطة الترفيه,4,0,0,0,4,2,2,4
منطقة نجران,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,2,0,0,0,4,4,0,4
منطقة القصيم,البحث والتطوير في المجال العلمي,3,1,1,0,3,3,0,4
منطقة نجران,أنشطة البرمجة والإذاعة,1,1,1,0,3,3,0,4
منطقة الحدود الشمالية,الأنشطة الإبداعية والفنون وأنشطة الترفيه,1,0,0,0,4,4,0,4
منطقة نجران,أنشطة خدمات دعم التعدين,2,0,0,0,4,4,0,4
منطقة الحدود الشمالية,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,2,0,0,0,4,4,0,4
منطقة عسير,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,4,4,0,4
منطقة الجوف,صيد الأسماك وتربية المائيات,3,1,1,0,3,3,0,4
منطقة الحدود الشمالية,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,4,4,0,4
منطقة نجران,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,1,0,0,0,4,4,0,4
منطقة الحدود الشمالية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,1,1,1,0,3,3,0,4
منطقة الباحة,أنشطة خدمات دعم التعدين,3,0,0,0,4,4,0,4
منطقة القصيم,أنشطة البرمجة والإذاعة,1,0,0,0,3,3,0,3
منطقة الجوف,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,2,0,0,0,3,3,0,3
منطقة الجوف,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,1,0,0,0,3,3,0,3
منطقة عسير,استخراج النفط الخام والغاز الطبيعي,3,0,0,0,3,3,0,3
منطقة حائل,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,1,2,2,0,1,1,0,3
منطقة المدينة المنورة,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,3,3,0,3
منطقة الباحة,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,2,0,0,0,3,3,0,3
منطقة الباحة,تعدين ركازات الفلزات,3,0,0,0,3,3,0,3
منطقة جازان,تعدين الفحم والليغنيت,1,0,0,0,3,3,0,3
منطقة حائل,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,2,0,0,0,2,2,0,2
منطقة مكة المكرمة,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,2,0,0,0,2,2,0,2
منطقة جازان,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,1,0,1,1,0,1,2
منطقة تبوك,صُنع المنتجات الجلدية والمنتجات ذات الصلة,1,0,0,0,2,2,0,2
منطقة تبوك,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,1,0,0,0,2,2,0,2
منطقة الحدود الشمالية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,1,0,0,0,2,2,0,2
منطقة الباحة,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2,1,1,0,1,1,0,2
منطقة المدينة المنورة,تعدين الفحم والليغنيت,1,0,0,0,2,2,0,2
منطقة المدينة المنورة,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,2,2,0,2
منطقة الحدود الشمالية,أنشطة خدمات المعلومات,1,1,1,0,0,0,0,1
منطقة الحدود الشمالية,أنشطة النشر,1,0,0,0,1,1,0,1
منطقة نجران,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1
منطقة الحدود الشمالية,أنشطة خدمات دعم التعدين,1,0,0,0,1,1,0,1
منطقة الباحة,الأنشطة الإبداعية والفنون وأنشطة الترفيه,1,0,0,0,1,1,0,1
منطقة الحدود الشمالية,البحث والتطوير في المجال العلمي,1,1,1,0,0,0,0,1
منطقة الباحة,البحث والتطوير في المجال العلمي,1,0,0,0,1,1,0,1
منطقة جازان,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,1,1,0,1
منطقة تبوك,أنشطة البرمجة والإذاعة,1,0,0,0,1,1,0,1
منطقة الباحة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,1,0,0,0,1,1,0,1
منطقة نجران,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,1,1,0,1
منطقة الجوف,صناعة معدات النقل الأخرى,1,0,0,0,1,1,0,1
منطقة الباحة,صناعة معدات النقل الأخرى,1,0,0,0,1,1,0,1
