region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة حائل,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,4219,2220,996,1224,11665,11574,91,13885
منطقة الرياض,صُنع المشروبات,177,3985,2157,1828,9873,9808,65,13858
منطقة عسير,أنشطة التشييد المتخصصة,3635,1284,629,655,12527,12424,103,13811
منطقة مكة المكرمة,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,2062,2249,1037,1212,11513,11328,185,13762
منطقة الرياض,صنع المعدات الكهربائية,374,3869,2278,1591,9841,9799,42,13710
منطقة مكة المكرمة,الأنشطة الإيجارية,3006,2663,1850,813,11039,10916,123,13702
منطقة عسير,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,3056,3345,1930,1415,10322,10248,74,13667
منطقة الرياض,الصناعة التحويلية الأخرى,506,3491,1701,1790,10091,9723,368,13582
منطقة المدينة المنورة,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,4083,1629,1071,558,11770,11734,36,13399
المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,207,3356,2538,818,9799,9450,349,13155
منطقة مكة المكرمة,تجميع المياه ومعالجتها وتوصيلها,574,2284,1405,879,10556,10514,42,12840
منطقة القصيم,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,2729,3058,1773,1285,9739,9628,111,12797
منطقة مكة المكرمة,صنع الفلزات القاعدية,335,3733,2297,1436,8976,8944,32,12709
منطقة الرياض,أنشطة خدمات المعلومات,453,7463,3960,3503,5209,4954,255,12672
منطقة مكة المكرمة,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,2076,5279,2857,2422,7256,6841,415,12535
