Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
3,تجميع المياه ومعالجتها وتوصيلها,2067,6827,4859,1968,21137,20973,164,27964,11
2,الصناعة التحويلية الأخرى,1248,7305,4067,3238,20489,19969,520,27794,10
3,الصناعة التحويلية الأخرى,1258,7204,4093,3111,20295,19738,557,27499,11
1,الصناعة التحويلية الأخرى,1239,7048,4006,3042,20198,19763,435,27246,9
1,صُنع الورق ومنتجات الورق,869,7342,3949,3393,19456,19336,120,26798,9
2,تجميع المياه ومعالجتها وتوصيلها,1925,6480,4600,1880,19909,19770,139,26389,10
1,تجميع المياه ومعالجتها وتوصيلها,1843,6429,4613,1816,19157,19034,123,25586,9
1,الأنشطة الرياضية وأنشطة التسلية والترفيه,3597,9397,3765,5632,16022,13749,2273,25419,9
3,صُنع المنسوجات,3345,4951,2603,2348,20423,20209,214,25374,11
2,الأنشطة الرياضية وأنشطة التسلية والترفيه,3629,9311,3755,5556,16027,13603,2424,25338,10
3,الأنشطة الرياضية وأنشطة التسلية والترفيه,3706,9309,3819,5490,15978,13511,2467,25287,11
1,صناعة الآلات والمعدات غير المصنفة في موضع أخر,908,7721,5653,2068,16340,16268,72,24061,9
3,أنشطة المنظمات ذات العضوية,6787,3948,2156,1792,20001,19669,332,23949,11
2,صُنع المنسوجات,3016,4557,2444,2113,19153,18970,183,23710,10
3,صناعة الآلات والمعدات غير المصنفة في موضع أخر,924,7408,5367,2041,15796,15715,81,23204,11
2,صناعة الآلات والمعدات غير المصنفة في موضع أخر,914,7343,5281,2062,15800,15734,66,23143,10
1,صُنع المنسوجات,2878,4458,2429,2029,18206,18044,162,22664,9
2,أنشطة المنظمات ذات العضوية,6432,3839,2099,1740,18022,17740,282,21861,10
2,الاتصالات,1157,14426,8928,5498,7429,7223,206,21855,10
1,الاتصالات,1149,14164,8840,5324,6709,6506,203,20873,9
3,صنع فحم الكوك والمنتجات النفطية المكررة,259,12011,11021,990,8156,8109,47,20167,11
3,الاتصالات,1166,12898,7849,5049,7243,7035,208,20141,11
2,صنع فحم الكوك والمنتجات النفطية المكررة,255,11887,10951,936,7960,7915,45,19847,10
1,صنع فحم الكوك والمنتجات النفطية المكررة,241,11885,10984,901,7747,7705,42,19632,9
3,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,837,4136,2714,1422,12980,12879,101,17116,11
2,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2649,5734,2980,2754,10773,10463,310,16507,10
2,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,792,4722,3057,1665,11756,11641,115,16478,10
3,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2740,5534,2843,2691,10642,10324,318,16176,11
1,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2595,5791,3012,2779,10372,10100,272,16163,9
1,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,812,4720,2995,1725,11358,11249,109,16078,9
3,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,41,2393,1924,469,13351,13121,230,15744,11
2,أنشطة خدمات المعلومات,718,9017,4655,4362,6582,6275,307,15599,10
2,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,40,1988,1621,367,13608,13362,246,15596,10
1,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,38,1662,1345,317,13885,13608,277,15547,9
3,أنشطة خدمات المعلومات,716,8910,4626,4284,6506,6177,329,15416,11
1,أنشطة المنظمات ذات العضوية,4846,3720,1964,1756,11417,11198,219,15137,9
1,أنشطة خدمات المعلومات,732,7720,3987,3733,6615,6324,291,14335,9
3,الطباعة واستنساخ وسائط الأعلام المسجّلة,1407,3906,1879,2027,8625,8518,107,12531,11
2,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,381,3643,2201,1442,8473,8450,23,12116,10
2,الطباعة واستنساخ وسائط الأعلام المسجّلة,1274,3828,1811,2017,8183,8088,95,12011,10
1,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,378,3581,2201,1380,8313,8293,20,11894,9
3,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,394,3685,2226,1459,8176,8153,23,11861,11
3,أنشطة النشر,851,6237,3586,2651,5370,5059,311,11607,11
1,الطباعة واستنساخ وسائط الأعلام المسجّلة,1209,3651,1729,1922,7665,7575,90,11316,9
3,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1008,3067,1785,1282,7946,7757,189,11013,11
2,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,955,2901,1700,1201,7804,7624,180,10705,10
2,أنشطة النشر,768,5661,3270,2391,4971,4693,278,10632,10
3,النقل الجوي,514,8078,7074,1004,2497,2137,360,10575,11
3,صناعة معدات النقل الأخرى,169,6625,6183,442,3850,3770,80,10475,11
1,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,905,2920,1681,1239,7540,7366,174,10460,9
3,صيد الأسماك وتربية المائيات,1918,764,511,253,9451,9397,54,10215,11
2,صناعة معدات النقل الأخرى,178,6309,5892,417,3867,3786,81,10176,10
2,النقل الجوي,511,7722,6797,925,2415,2088,327,10137,10
3,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,86,7901,4719,3182,2048,1878,170,9949,11
1,النقل الجوي,514,7522,6616,906,2323,2072,251,9845,9
3,صنع الحواسيب والمنتجات الإلكترونية والبصرية,511,3872,3212,660,5919,5846,73,9791,11
2,صيد الأسماك وتربية المائيات,1828,722,484,238,8997,8954,43,9719,10
2,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,89,7610,4604,3006,2093,1928,165,9703,10
1,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,93,7402,4508,2894,2224,2060,164,9626,9
1,صناعة معدات النقل الأخرى,174,5941,5539,402,3485,3403,82,9426,9
2,صنع الحواسيب والمنتجات الإلكترونية والبصرية,521,3733,3091,642,5630,5448,182,9363,10
1,صيد الأسماك وتربية المائيات,1745,759,495,264,8562,8527,35,9321,9
3,الأنشطة المهنية والعلمية والتقنية الأخرى,2059,3294,1430,1864,5855,5142,713,9149,11
1,أنشطة النشر,727,4797,2761,2036,4310,4106,204,9107,9
2,الأنشطة المهنية والعلمية والتقنية الأخرى,2049,3097,1342,1755,5725,5038,687,8822,10
1,الأنشطة المهنية والعلمية والتقنية الأخرى,2032,3037,1334,1703,5615,4959,656,8652,9
1,صنع الحواسيب والمنتجات الإلكترونية والبصرية,508,3483,2851,632,4859,4780,79,8342,9
1,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,783,3305,1908,1397,3041,2774,267,6346,9
3,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,860,3204,1801,1403,2974,2716,258,6178,11
2,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,824,3087,1729,1358,2845,2614,231,5932,10
3,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,565,3893,2591,1302,1789,1712,77,5682,11
1,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,581,3703,2453,1250,1969,1893,76,5672,9
2,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,571,3708,2449,1259,1885,1811,74,5593,10
3,النقل المائي,542,2169,1473,696,2578,2511,67,4747,11
2,النقل المائي,524,2108,1465,643,2413,2352,61,4521,10
1,النقل المائي,510,2064,1453,611,2353,2294,59,4417,9
1,الرعاية مع الإقامة,143,2811,569,2242,1089,666,423,3900,9
3,الرعاية مع الإقامة,143,2610,482,2128,1128,698,430,3738,11
3,البحث والتطوير في المجال العلمي,246,2501,1999,502,1024,916,108,3525,11
1,البحث والتطوير في المجال العلمي,237,2439,1951,488,1029,934,95,3468,9
2,البحث والتطوير في المجال العلمي,240,2413,1933,480,1035,932,103,3448,10
2,تعدين ركازات الفلزات,251,1438,1256,182,1318,1305,13,2756,10
1,صُنع المنتجات الجلدية والمنتجات ذات الصلة,258,460,170,290,2226,2216,10,2686,9
2,صُنع المنتجات الجلدية والمنتجات ذات الصلة,256,431,162,269,2149,2138,11,2580,10
3,تعدين ركازات الفلزات,240,1401,1229,172,1125,1110,15,2526,11
2,الرعاية مع الإقامة,137,1440,320,1120,1065,651,414,2505,10
1,تعدين ركازات الفلزات,240,1394,1245,149,1105,1096,9,2499,9
3,الأنشطة البيطرية,455,689,241,448,1737,1568,169,2426,11
3,صُنع المنتجات الجلدية والمنتجات ذات الصلة,259,376,114,262,2014,1993,21,2390,11
2,الأنشطة البيطرية,448,670,243,427,1717,1559,158,2387,10
1,الأنشطة البيطرية,436,646,227,419,1631,1478,153,2277,9
3,الحراجة وقطع الأخشاب,144,251,132,119,1021,989,32,1272,11
3,الأنشطة الإبداعية والفنون وأنشطة الترفيه,315,439,192,247,754,666,88,1193,11
1,الأنشطة الإبداعية والفنون وأنشطة الترفيه,312,413,161,252,745,675,70,1158,9
2,الأنشطة الإبداعية والفنون وأنشطة الترفيه,305,429,184,245,707,632,75,1136,10
3,أنشطة البرمجة والإذاعة,117,314,192,122,741,659,82,1055,11
2,أنشطة البرمجة والإذاعة,118,321,189,132,711,643,68,1032,10
1,الحراجة وقطع الأخشاب,105,198,111,87,819,810,9,1017,9
1,أنشطة البرمجة والإذاعة,118,323,190,133,673,612,61,996,9
2,الحراجة وقطع الأخشاب,120,178,109,69,805,800,5,983,10
1,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,166,119,68,51,396,390,6,515,9
2,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,162,99,43,56,376,372,4,475,10
3,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,159,106,42,64,356,352,4,462,11
3,تعدين الفحم والليغنيت,73,77,31,46,312,310,2,389,11
2,تعدين الفحم والليغنيت,73,75,31,44,290,288,2,365,10
1,تعدين الفحم والليغنيت,66,80,39,41,271,268,3,351,9
2,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,42,120,79,41,105,104,1,225,10
3,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,42,118,79,39,105,104,1,223,11
1,أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,43,120,80,40,101,100,1,221,9
1,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,26,6,2,4,56,54,2,62,9
3,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,23,7,1,6,53,52,1,60,11
2,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,22,6,1,5,44,43,1,50,10
1,أنشطة انتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية والموسيقية,8,6,2,4,13,12,1,19,9
3,صُنع منتجات التبغ,2,7,7,0,5,5,0,12,11
2,صُنع منتجات التبغ,1,0,0,0,5,5,0,5,10
1,صُنع منتجات التبغ,1,0,0,0,5,5,0,5,9
